Area Type,Area Name,Year,Month,Industry Title,Industry Current Employment,Regional Labor Force,Regional Employment,Regional Unemployment,Regional Unemployment Rate
State,California,2014,January, Offices of Real Estate Agents and Brokers,44800,18496400,16922600,1573700,8.5
State,California,2014,January,Activities Related to Real Estate,94900,18496400,16922600,1573700,8.5
State,California,2014,January, Auto Equipment Rental and Leasing,19700,18496400,16922600,1573700,8.5
State,California,2014,January,Metalworking Machinery Mfg.,12500,18496400,16922600,1573700,8.5
State,California,2014,January,Consumer Goods Rental,16000,18496400,16922600,1573700,8.5
State,California,2014,January, Finance and Insurance,516600,18496400,16922600,1573700,8.5
State,California,2014,January,Commercial and Service Industry Manufact,11700,18496400,16922600,1573700,8.5
State,California,2014,January,Architectural & Structural Metals Mfg.,28700,18496400,16922600,1573700,8.5
State,California,2014,January,Machinery Manufacturing,72100,18496400,16922600,1573700,8.5
State,California,2014,January,Industrial Machinery Manufacturing,14100,18496400,16922600,1573700,8.5
State,California,2014,January,Insurance Carriers,84900,18496400,16922600,1573700,8.5
State,California,2014,January,"Management, Scientific and Technical Con",202900,18496400,16922600,1573700,8.5
State,California,2014,January, Insurance Carriers and Related Activities,184100,18496400,16922600,1573700,8.5
State,California,2014,January, Financial Investments and Related Activities including Financial Vehicles,85900,18496400,16922600,1573700,8.5
State,California,2014,January,Securities & Commodity Contracts,33800,18496400,16922600,1573700,8.5
State,California,2014,January,Nonresidential Building Construction,58500,18496400,16922600,1573700,8.5
State,California,2014,January, Other Specialty Trade Contractors,53700,18496400,16922600,1573700,8.5
State,California,2014,January,Nonmetallic Mineral Product Mfg.,29700,18496400,16922600,1573700,8.5
State,California,2014,January, Computer Systems Design and Related Services,250500,18496400,16922600,1573700,8.5
State,California,2014,January,Legal Services,131700,18496400,16922600,1573700,8.5
State,California,2014,January,L& Subdivision,7700,18496400,16922600,1573700,8.5
State,California,2014,January, Other Heavy and Civil Engineering Construction,7100,18496400,16922600,1573700,8.5
State,California,2014,January,Specialty Trade Contractors,417800,18496400,16922600,1573700,8.5
State,California,2014,January," Foundation, Structure, and Building Exterior Contractors",84300,18496400,16922600,1573700,8.5
State,California,2014,January,Building Equipment Contractors,176900,18496400,16922600,1573700,8.5
State,California,2014,January,Wood Product Manufacturing,21400,18496400,16922600,1573700,8.5
State,California,2014,January,Other Fabricated Metal Product Mfg.,17700,18496400,16922600,1573700,8.5
State,California,2014,January,ResidualOther General Purpose Machinery,15900,18496400,16922600,1573700,8.5
State,California,2014,January,Other Financial Investment Activities,52100,18496400,16922600,1573700,8.5
State,California,2014,January, Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,246600,18496400,16922600,1573700,8.5
State,California,2014,January,Nondepository Credit Intermediation,50600,18496400,16922600,1573700,8.5
State,California,2014,January,Comm & Industrial Mach Rental & Leasing,17000,18496400,16922600,1573700,8.5
State,California,2014,January,General Rental Centers,3700,18496400,16922600,1573700,8.5
State,California,2014,January,Lessors of Real Estate,60100,18496400,16922600,1573700,8.5
State,California,2014,January, Rental and Leasing Services,56400,18496400,16922600,1573700,8.5
State,California,2014,January,Specialized Design Services,21500,18496400,16922600,1573700,8.5
State,California,2014,January,Durable Goods,793000,18496400,16922600,1573700,8.5
State,California,2014,January," Highway, Street, and Bridge Construction",20100,18496400,16922600,1573700,8.5
State,California,2014,January,Building Finishing Contractors,102900,18496400,16922600,1573700,8.5
State,California,2014,January,Goods Producing,1923000,18496400,16922600,1573700,8.5
State,California,2014,January,Mining,26500,18496400,16922600,1573700,8.5
State,California,2014,January,Construction,638500,18496400,16922600,1573700,8.5
State,California,2014,January,Residential Building Construction,88400,18496400,16922600,1573700,8.5
State,California,2014,January, Heavy and Civil Engineering Construction,73800,18496400,16922600,1573700,8.5
State,California,2014,January," Mining, Logging and Construction",666400,18496400,16922600,1573700,8.5
State,California,2014,January,Total Private,12836000,18496400,16922600,1573700,8.5
State,California,2014,January,Other Wood Product Mfg.,14800,18496400,16922600,1573700,8.5
State,California,2014,January,Primary Metal Manufacturing,18700,18496400,16922600,1573700,8.5
State,California,2014,January,Fabricated Metal Product Mfg,127200,18496400,16922600,1573700,8.5
State,California,2014,January,Machine Shops & Threaded Product Mfg.,43300,18496400,16922600,1573700,8.5
State,California,2014,January,"Data Processing, Hosting & Related Services",28200,18496400,16922600,1573700,8.5
State,California,2014,January, Broadcasting and Content Providers,64400,18496400,16922600,1573700,8.5
State,California,2014,January,Telecommunications,86500,18496400,16922600,1573700,8.5
State,California,2014,January,Support Activities for Mining,14900,18496400,16922600,1573700,8.5
State,California,2014,January, Mining and Logging,28000,18496400,16922600,1573700,8.5
State,California,2014,January,Logging,1500,18496400,16922600,1573700,8.5
State,California,2014,January, Furniture and Home Furnishings Retailers,53500,18496400,16922600,1573700,8.5
State,California,2014,January,"Soap, Cleaning Compound & Toiletry Mfg.",11200,18496400,16922600,1573700,8.5
State,California,2014,January," Trade, Transportation, and Utilities",2789200,18496400,16922600,1573700,8.5
State,California,2014,January,Electrical and Electronic Goods Merchant,48500,18496400,16922600,1573700,8.5
State,California,2014,January,Furniture & Home Furnish Merch whole,19900,18496400,16922600,1573700,8.5
State,California,2014,January,Lumber & Other Const. Mat Merch whole,18900,18496400,16922600,1573700,8.5
State,California,2014,January, Plastics and Rubber Products Manufacturing,43400,18496400,16922600,1573700,8.5
State,California,2014,January, Service-Providing,13305900,18496400,16922600,1573700,8.5
State,California,2014,January,Motor Vehicle and Motor Vehicle Parts Me,37300,18496400,16922600,1573700,8.5
State,California,2014,January,Chemical & Allied Products Merchant whol,13100,18496400,16922600,1573700,8.5
State,California,2014,January,Retail Trade,1603500,18496400,16922600,1573700,8.5
State,California,2014,January,Professional and Commercial Equipment Me,86700,18496400,16922600,1573700,8.5
State,California,2014,January,"Hdwr, Plumb & Heating Merchant whole",24200,18496400,16922600,1573700,8.5
State,California,2014,January,"Merchant Wholesalers, Nondurable Goods",272700,18496400,16922600,1573700,8.5
State,California,2014,January,Grocery & Related Products Merchant whol,101500,18496400,16922600,1573700,8.5
State,California,2014,January,Private Service Providing,10913000,18496400,16922600,1573700,8.5
State,California,2014,January,Wholesale Trade,676000,18496400,16922600,1573700,8.5
State,California,2014,January,"Machinery, Equipment and Supplies Mercha",53200,18496400,16922600,1573700,8.5
State,California,2014,January,Social Advocacy Organizations,23100,18496400,16922600,1573700,8.5
State,California,2014,January,Indian Tribes,59000,18496400,16922600,1573700,8.5
State,California,2014,January,Personal & Household Goods Repair,8000,18496400,16922600,1573700,8.5
State,California,2014,January, Personal and Laundry Services,155900,18496400,16922600,1573700,8.5
State,California,2014,January," Religious, Grantmaking, Civic, Professional, and Similar Organizations",218800,18496400,16922600,1573700,8.5
State,California,2014,January,Other Services,519900,18496400,16922600,1573700,8.5
State,California,2014,January,Other Amusement and Recreation,127600,18496400,16922600,1573700,8.5
State,California,2014,January,Drinking Places (Alcoholic Beverages),27900,18496400,16922600,1573700,8.5
State,California,2014,January,Spectator Sports,11800,18496400,16922600,1573700,8.5
State,California,2014,January,Grantmaking & Giving Serv.,22300,18496400,16922600,1573700,8.5
State,California,2014,January,Other Personal Services,42900,18496400,16922600,1573700,8.5
State,California,2014,January,"Community Food & Housing, & Emergency &",17300,18496400,16922600,1573700,8.5
State,California,2014,January, Leisure and Hospitality,1677000,18496400,16922600,1573700,8.5
State,California,2014,January, County Government,326500,18496400,16922600,1573700,8.5
State,California,2014,January," Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",201200,18496400,16922600,1573700,8.5
State,California,2014,January, Book Retailers and News Dealers,11600,18496400,16922600,1573700,8.5
State,California,2014,January, Used Merchandise Retailers,18200,18496400,16922600,1573700,8.5
State,California,2014,January,Scheduled Air transp.,40400,18496400,16922600,1573700,8.5
State,California,2014,January, Information,459200,18496400,16922600,1573700,8.5
State,California,2014,January,Motion Picture & Video Industries,142200,18496400,16922600,1573700,8.5
State,California,2014,January,Drycleaning & Laundry Serv.,34000,18496400,16922600,1573700,8.5
State,California,2014,January,Motor Vehicle Mfg.,5500,18496400,16922600,1573700,8.5
State,California,2014,January, Pharmaceutical and Medicine Manufacturing,40700,18496400,16922600,1573700,8.5
State,California,2014,January,Government,2392900,18496400,16922600,1573700,8.5
State,California,2014,January,Department of Defense,58600,18496400,16922600,1573700,8.5
State,California,2014,January, State Government Excluding Education,254000,18496400,16922600,1573700,8.5
State,California,2014,January, Local Government Excluding Educational Services,752900,18496400,16922600,1573700,8.5
State,California,2014,January,Support Activities for Road transp.,14000,18496400,16922600,1573700,8.5
State,California,2014,January,General Freight Trucking,70000,18496400,16922600,1573700,8.5
State,California,2014,January, Transit and Ground Passenger Transportation,40000,18496400,16922600,1573700,8.5
State,California,2014,January,Support Activities for Water transp.,20200,18496400,16922600,1573700,8.5
State,California,2014,January, Beverage and Tobacco Product Manufacturing,47300,18496400,16922600,1573700,8.5
State,California,2014,January,Religious Organizations,94200,18496400,16922600,1573700,8.5
State,California,2014,January,Natural Gas Distribution,34000,18496400,16922600,1573700,8.5
State,California,2014,January,Other Food Mfg.,29200,18496400,16922600,1573700,8.5
State,California,2014,January,Civic & Social Organizations,38800,18496400,16922600,1573700,8.5
State,California,2014,January," Newspaper, Periodical, Book, and Directory Publishers",36500,18496400,16922600,1573700,8.5
State,California,2014,January,Other Residential Care Facilities,14200,18496400,16922600,1573700,8.5
State,California,2014,January, Printing and Related Support Activities,42000,18496400,16922600,1573700,8.5
State,California,2014,January, Petroleum and Coal Products Manufacturing,14500,18496400,16922600,1573700,8.5
State,California,2014,January,Chemical Manufacturing,71500,18496400,16922600,1573700,8.5
State,California,2014,January,Federal Government,240500,18496400,16922600,1573700,8.5
State,California,2014,January,State Government,488000,18496400,16922600,1573700,8.5
State,California,2014,January, Special Districts plus Tribes,115400,18496400,16922600,1573700,8.5
State,California,2014,January,Child Day Care Services,65600,18496400,16922600,1573700,8.5
State,California,2014,January,Performing Arts Companies,13000,18496400,16922600,1573700,8.5
State,California,2014,January,"Independent Artists, Writers, and Perfor",15300,18496400,16922600,1573700,8.5
State,California,2014,January,Special Food Services,51900,18496400,16922600,1573700,8.5
State,California,2014,January,Auto Repair & Maintenance,108100,18496400,16922600,1573700,8.5
State,California,2014,January,Total Wage and Salary,15575500,18496400,16922600,1573700,8.5
State,California,2014,January, Department Stores,131900,18496400,16922600,1573700,8.5
State,California,2014,January, Health and Personal Care Retailers,111000,18496400,16922600,1573700,8.5
State,California,2014,January, Gasoline Stations and Fuel Dealers,56200,18496400,16922600,1573700,8.5
State,California,2014,January, Clothing and Clothing Accessories Retailers,159300,18496400,16922600,1573700,8.5
State,California,2014,January, Transportation and Warehousing,451200,18496400,16922600,1573700,8.5
State,California,2014,January,Support Activities for Transportation,88700,18496400,16922600,1573700,8.5
State,California,2014,January,Freight transp. Arrangement,27400,18496400,16922600,1573700,8.5
State,California,2014,January, Couriers and Messengers,67500,18496400,16922600,1573700,8.5
State,California,2014,January,Social Assistance,644100,18496400,16922600,1573700,8.5
State,California,2014,January,Vocational Rehabilitation Services,35000,18496400,16922600,1573700,8.5
State,California,2014,January," Arts, Entertainment, and Recreation",257400,18496400,16922600,1573700,8.5
State,California,2014,January,"Performing Arts, Spectator Sports",61600,18496400,16922600,1573700,8.5
State,California,2014,January,"Museums, Historical Sites, and Similar I",16400,18496400,16922600,1573700,8.5
State,California,2014,January,Amusement Parks and Arcades,37600,18496400,16922600,1573700,8.5
State,California,2014,January,Gambling Industries,14200,18496400,16922600,1573700,8.5
State,California,2014,January,"Bus,Labor, Political & Other like Org.",40400,18496400,16922600,1573700,8.5
State,California,2014,January, State Government Educational Services,234000,18496400,16922600,1573700,8.5
State,California,2014,January, Local Government Educational Services,911500,18496400,16922600,1573700,8.5
State,California,2014,January, City Government,252000,18496400,16922600,1573700,8.5
State,California,2014,January, Accommodation and Food Services,1419600,18496400,16922600,1573700,8.5
State,California,2014,January,Full-Service Restaurants,585900,18496400,16922600,1573700,8.5
State,California,2014,January,Commercial & Industrial Machinery,18100,18496400,16922600,1573700,8.5
State,California,2014,January,Electronic Computer Manufacturing,50800,18496400,16922600,1573700,8.5
State,California,2014,January,Communications Equipment Manufacturing,22500,18496400,16922600,1573700,8.5
State,California,2014,January,Semiconductor and Electronic Component M,91600,18496400,16922600,1573700,8.5
State,California,2014,January,ResidualTextile Mills,8500,18496400,16922600,1573700,8.5
State,California,2014,January,Textile Product Mills,8700,18496400,16922600,1573700,8.5
State,California,2014,January,Apparel Manufacturing,56100,18496400,16922600,1573700,8.5
State,California,2014,January, Ship and Boat Building,7200,18496400,16922600,1573700,8.5
State,California,2014,January,Other Miscellaneous Durable Goods Mfg.,30600,18496400,16922600,1573700,8.5
State,California,2014,January, Animal Slaughtering and Processing,22100,18496400,16922600,1573700,8.5
State,California,2014,January, Non-Durable Goods,463600,18496400,16922600,1573700,8.5
State,California,2014,January, Food Manufacturing,147600,18496400,16922600,1573700,8.5
State,California,2014,January,Dairy Product Manufacturing,17400,18496400,16922600,1573700,8.5
State,California,2014,January,Semiconductor and Related Devices Manufa,50700,18496400,16922600,1573700,8.5
State,California,2014,January,Electrical Equipment and Appliance Manuf,29400,18496400,16922600,1573700,8.5
State,California,2014,January, Furniture and Related Product Manufacturing,33300,18496400,16922600,1573700,8.5
State,California,2014,January,Miscellaneous Durable Goods Manufacturing,87400,18496400,16922600,1573700,8.5
State,California,2014,January,Individual and Family Services,526200,18496400,16922600,1573700,8.5
State,California,2014,January,Paper Manufacturing,21000,18496400,16922600,1573700,8.5
State,California,2014,January, Publishing Industries,94900,18496400,16922600,1573700,8.5
State,California,2014,January, Software Publishers,58400,18496400,16922600,1573700,8.5
State,California,2014,January,Local Government,1664400,18496400,16922600,1573700,8.5
State,California,2014,January, Federal Government excluding Department of Defense,181900,18496400,16922600,1573700,8.5
State,California,2014,January, Total State and Local Government,2152400,18496400,16922600,1573700,8.5
State,California,2014,January," Amusement, Gambling, and Recreation Industries",179400,18496400,16922600,1573700,8.5
State,California,2014,January,Accommodation,205000,18496400,16922600,1573700,8.5
State,California,2014,January,Total Nonfarm,15228900,18496400,16922600,1573700,8.5
State,California,2014,January," Warehouse Clubs, Supercenters, and Other General Merchandise Retailers",168000,18496400,16922600,1573700,8.5
State,California,2014,January, Food Services and Drinking Places,1214600,18496400,16922600,1573700,8.5
State,California,2014,January, Limited-Service Restaurants and Other Eating Places,548900,18496400,16922600,1573700,8.5
State,California,2014,January, Repair and Maintenance,145200,18496400,16922600,1573700,8.5
State,California,2014,January,Personal Care Serv.,68900,18496400,16922600,1573700,8.5
State,California,2014,January," Sporting Goods, Hobby, and Musical Instrument Retailers",62400,18496400,16922600,1573700,8.5
State,California,2014,January," Office Supplies, Stationery, and Gift Retailers",36700,18496400,16922600,1573700,8.5
State,California,2014,January, Other Miscellaneous Retailers,41700,18496400,16922600,1573700,8.5
State,California,2014,January,"Electric Power Gen, Trans & Distribution",19300,18496400,16922600,1573700,8.5
State,California,2014,January,Air Transportation,43800,18496400,16922600,1573700,8.5
State,California,2014,January,Truck Transportation,108200,18496400,16922600,1573700,8.5
State,California,2014,January,Specialized Freight Trucking,38200,18496400,16922600,1573700,8.5
State,California,2014,January, Warehousing and Storage,78900,18496400,16922600,1573700,8.5
State,California,2014,January,Electronic Instrument Manufacturing,73400,18496400,16922600,1573700,8.5
State,California,2014,January, Aerospace Product and Parts Manufacturing,77300,18496400,16922600,1573700,8.5
State,California,2014,January, Household and Institutional Furniture and Kitchen Cabinet Manufacturing,21300,18496400,16922600,1573700,8.5
State,California,2014,January,Converted Paper Product Mfg.,19600,18496400,16922600,1573700,8.5
State,California,2014,January,Utilities,58500,18496400,16922600,1573700,8.5
State,California,2014,January, Bakeries and Tortilla Manufacturing,40800,18496400,16922600,1573700,8.5
State,California,2014,January,Motion Picture and Sound Recording,145800,18496400,16922600,1573700,8.5
State,California,2014,January,Motion Picture & Video Production,113100,18496400,16922600,1573700,8.5
State,California,2014,January,Medical Equipment & Supplies Mfg.,56800,18496400,16922600,1573700,8.5
State,California,2014,January, Cut and Sew Apparel Manufacturing,52600,18496400,16922600,1573700,8.5
State,California,2014,January,Fruit & Vegetable Preserving & Specialty,23500,18496400,16922600,1573700,8.5
State,California,2014,January,Apparel Knitting Mills,1400,18496400,16922600,1573700,8.5
State,California,2014,January,Total Farm,346600,18496400,16922600,1573700,8.5
State,California,2014,January," Jewelry, Luggage, and Leather Goods Retailers",16300,18496400,16922600,1573700,8.5
State,California,2014,January," Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",173000,18496400,16922600,1573700,8.5
State,California,2014,January," Transportation, Warehousing, and Utilities",509700,18496400,16922600,1573700,8.5
State,California,2014,January,Hospitals,374700,18496400,16922600,1573700,8.5
State,California,2014,January,Offices of Physicians,213600,18496400,16922600,1573700,8.5
State,California,2014,January, Food and Beverage Retailers,347500,18496400,16922600,1573700,8.5
State,California,2014,January,"Beer, Wine, & Liquor Stores",15300,18496400,16922600,1573700,8.5
State,California,2014,January, Scientific Research and Development Services,122600,18496400,16922600,1573700,8.5
State,California,2014,January,Office Administrative Services,73700,18496400,16922600,1573700,8.5
State,California,2014,January,Facilities Support Serv.,10300,18496400,16922600,1573700,8.5
State,California,2014,January,Business Support Services,57700,18496400,16922600,1573700,8.5
State,California,2014,January, Administrative and Support and Waste Management and Remediation Services,971400,18496400,16922600,1573700,8.5
State,California,2014,January,Medical & Diagnostic Laboratories,32400,18496400,16922600,1573700,8.5
State,California,2014,January,Other Ambulatory Health Care Serv.,25700,18496400,16922600,1573700,8.5
State,California,2014,January,Psychiatric & Substance Abuse Hosp,6900,18496400,16922600,1573700,8.5
State,California,2014,January, Nursing and Residential Care Facilities,274300,18496400,16922600,1573700,8.5
State,California,2014,January,"Other Professional, Scientific and Techn",66200,18496400,16922600,1573700,8.5
State,California,2014,January,Travel Arrangement and Reservation Servi,21500,18496400,16922600,1573700,8.5
State,California,2014,January, Investigation and Security Services,127100,18496400,16922600,1573700,8.5
State,California,2014,January,ResidualOther Support Services,29800,18496400,16922600,1573700,8.5
State,California,2014,January, Private Educational Services,327900,18496400,16922600,1573700,8.5
State,California,2014,January, Health Care and Social Assistance,2005300,18496400,16922600,1573700,8.5
State,California,2014,January, Ambulatory Health Care Services,712200,18496400,16922600,1573700,8.5
State,California,2014,January,Offices of Other Health Practitioners,70900,18496400,16922600,1573700,8.5
State,California,2014,January, Services to Buildings and Dwellings,206900,18496400,16922600,1573700,8.5
State,California,2014,January, Private Education and Health Services,2333200,18496400,16922600,1573700,8.5
State,California,2014,January,Junior Colleges,5700,18496400,16922600,1573700,8.5
State,California,2014,January," Private Colleges, Universities, and Professional Schools",136000,18496400,16922600,1573700,8.5
State,California,2014,January,Offices of Dentists,118100,18496400,16922600,1573700,8.5
State,California,2014,January,Outpatient Care Centers,171000,18496400,16922600,1573700,8.5
State,California,2014,January,Home Health Care Serv.,80500,18496400,16922600,1573700,8.5
State,California,2014,January,Nursing Care Facilities,131100,18496400,16922600,1573700,8.5
State,California,2014,January,General Medical & Surgical Hosp.s,351800,18496400,16922600,1573700,8.5
State,California,2014,January,"Specialty (not Psych, Sub Abuse) Hosp.",16000,18496400,16922600,1573700,8.5
State,California,2014,January," Furniture, Home Furnishings, Electronics, and Appliance Retailers",118300,18496400,16922600,1573700,8.5
State,California,2014,January,Automobile Dealers,115900,18496400,16922600,1573700,8.5
State,California,2014,January,Other Motor Vehicle Dealers,11400,18496400,16922600,1573700,8.5
State,California,2014,January, Electronics and Appliance Retailers,64800,18496400,16922600,1573700,8.5
State,California,2014,January,Advertising and Related Services,62200,18496400,16922600,1573700,8.5
State,California,2014,January,"Apparel, Piece Gds & Notions Merch whole",37200,18496400,16922600,1573700,8.5
State,California,2014,January,Wholesale Electronic Markets and Agents,57300,18496400,16922600,1573700,8.5
State,California,2014,January,"Automotive Parts, Accessories and Tire S",51800,18496400,16922600,1573700,8.5
State,California,2014,January,Building Material and Supplies Dealers,106600,18496400,16922600,1573700,8.5
State,California,2014,January,"Merchant Wholesalers, Durable Goods",346000,18496400,16922600,1573700,8.5
State,California,2014,January,Paper & Paper Products Merchant whole,15100,18496400,16922600,1573700,8.5
State,California,2014,January, Misc Nondurable Goods Merchant Wholesalers,49900,18496400,16922600,1573700,8.5
State,California,2014,January,Grocery Stores,302900,18496400,16922600,1573700,8.5
State,California,2014,January, Motor Vehicle and Parts Dealers,179100,18496400,16922600,1573700,8.5
State,California,2014,January, Building Material and Garden Equipment and Supplies Dealers,117300,18496400,16922600,1573700,8.5
State,California,2014,January,Comm Care Facilities for the Elderly,82300,18496400,16922600,1573700,8.5
State,California,2014,January,Residential Intellectual & Developmental Disability,46700,18496400,16922600,1573700,8.5
State,California,2014,January,Elementary and Secondary Schools,84400,18496400,16922600,1573700,8.5
State,California,2014,January,Other Schools & Instruction,58600,18496400,16922600,1573700,8.5
State,California,2014,January, Waste Management and Remediation Services,45500,18496400,16922600,1573700,8.5
State,California,2014,January,Specialty Food Stores,29300,18496400,16922600,1573700,8.5
State,California,2014,January, Furniture Retailers,20300,18496400,16922600,1573700,8.5
State,California,2014,January, Home Furnishings Retailers,33200,18496400,16922600,1573700,8.5
State,California,2014,January, General Merchandise Retailers,299900,18496400,16922600,1573700,8.5
State,California,2014,January, Management of Companies and Enterprises,236900,18496400,16922600,1573700,8.5
State,California,2014,January, Administrative and Support Services,925900,18496400,16922600,1573700,8.5
State,California,2014,January,Employment Services,398900,18496400,16922600,1573700,8.5
State,California,2014,February, Computer and Peripheral Equipment Manufacturing,63900,18605200,17033800,1571500,8.4
State,California,2014,February,Transportation Equipment Manufacturing,111900,18605200,17033800,1571500,8.4
State,California,2014,February,Bare Printed Circuit Board Manufacturing,8700,18605200,17033800,1571500,8.4
State,California,2014,February, Computer and Electronic Product Manufacturing,263700,18605200,17033800,1571500,8.4
State,California,2014,February,Real Estate,201500,18605200,17033800,1571500,8.4
State,California,2014,February," Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",50700,18605200,17033800,1571500,8.4
State,California,2014,February,Activities Related to Credit Intermediat,37700,18605200,17033800,1571500,8.4
State,California,2014,February, Depository Credit Intermediation including Monetary Authorities - Central Bank,156900,18605200,17033800,1571500,8.4
State,California,2014,February, Financial Activities,776200,18605200,17033800,1571500,8.4
State,California,2014,February, Wired Telecommunications Carriers,58200,18605200,17033800,1571500,8.4
State,California,2014,February, Radio and Television Broadcasting Stations,13900,18605200,17033800,1571500,8.4
State,California,2014,February,Manufacturing,1264100,18605200,17033800,1571500,8.4
State,California,2014,February,Utility System Const.,39800,18605200,17033800,1571500,8.4
State,California,2014,February,Construction of Buildings,148600,18605200,17033800,1571500,8.4
State,California,2014,February,"Mining, except Oil & Gas",5400,18605200,17033800,1571500,8.4
State,California,2014,February," Architectural, Engineering, and Related Services",162200,18605200,17033800,1571500,8.4
State,California,2014,February,"Accounting, Tax Preparation and Bookkeep",138400,18605200,17033800,1571500,8.4
State,California,2014,February,Oil & Gas Extraction,6200,18605200,17033800,1571500,8.4
State,California,2014,February," Professional, Scientific, and Technical Services",1164400,18605200,17033800,1571500,8.4
State,California,2014,February, Professional and Business Services,2379300,18605200,17033800,1571500,8.4
State,California,2014,February, Real Estate and Rental and Leasing,260900,18605200,17033800,1571500,8.4
State,California,2014,February," Web Search Portals, Libraries, Archives, and Other ",40100,18605200,17033800,1571500,8.4
State,California,2014,February," Agencies, Broker and Other Insurance Related Activities",100100,18605200,17033800,1571500,8.4
State,California,2014,February,Activities Related to Real Estate,95900,18605200,17033800,1571500,8.4
State,California,2014,February, Offices of Real Estate Agents and Brokers,45100,18605200,17033800,1571500,8.4
State,California,2014,February, Finance and Insurance,515300,18605200,17033800,1571500,8.4
State,California,2014,February,Consumer Goods Rental,15900,18605200,17033800,1571500,8.4
State,California,2014,February,Metalworking Machinery Mfg.,12500,18605200,17033800,1571500,8.4
State,California,2014,February, Auto Equipment Rental and Leasing,19800,18605200,17033800,1571500,8.4
State,California,2014,February,Commercial and Service Industry Manufact,11700,18605200,17033800,1571500,8.4
State,California,2014,February,Industrial Machinery Manufacturing,14200,18605200,17033800,1571500,8.4
State,California,2014,February,Machinery Manufacturing,72600,18605200,17033800,1571500,8.4
State,California,2014,February,Architectural & Structural Metals Mfg.,29100,18605200,17033800,1571500,8.4
State,California,2014,February,Insurance Carriers,84100,18605200,17033800,1571500,8.4
State,California,2014,February,"Management, Scientific and Technical Con",204300,18605200,17033800,1571500,8.4
State,California,2014,February, Insurance Carriers and Related Activities,184200,18605200,17033800,1571500,8.4
State,California,2014,February,Securities & Commodity Contracts,34000,18605200,17033800,1571500,8.4
State,California,2014,February, Financial Investments and Related Activities including Financial Vehicles,86500,18605200,17033800,1571500,8.4
State,California,2014,February, Computer Systems Design and Related Services,252600,18605200,17033800,1571500,8.4
State,California,2014,February,Nonmetallic Mineral Product Mfg.,29900,18605200,17033800,1571500,8.4
State,California,2014,February, Other Specialty Trade Contractors,54300,18605200,17033800,1571500,8.4
State,California,2014,February,Nonresidential Building Construction,59100,18605200,17033800,1571500,8.4
State,California,2014,February,Legal Services,131700,18605200,17033800,1571500,8.4
State,California,2014,February, Other Heavy and Civil Engineering Construction,7100,18605200,17033800,1571500,8.4
State,California,2014,February,L& Subdivision,7800,18605200,17033800,1571500,8.4
State,California,2014,February,Other Financial Investment Activities,52400,18605200,17033800,1571500,8.4
State,California,2014,February,ResidualOther General Purpose Machinery,16100,18605200,17033800,1571500,8.4
State,California,2014,February,Other Fabricated Metal Product Mfg.,17600,18605200,17033800,1571500,8.4
State,California,2014,February,Wood Product Manufacturing,21700,18605200,17033800,1571500,8.4
